A0_1;C9_0;ccaa_etapa;pernoc_etapa
20190500000194;01;04;2
20190500000194;02;04;3
20190500000195;01;04;7
20190500000196;01;04;4
20190500000197;01;04;2
20190500000198;01;04;7
20190500000199;01;04;9
20190500000200;01;04;7
20190500000201;01;04;7
20190500000202;01;04;5
20190500000203;01;04;3
20190500000204;01;04;3
20190500000205;01;04;5
20190500000206;01;04;7
20190500000207;01;04;5
20190500000208;01;04;4
20190500000209;01;04;1
20190500000210;01;04;7
20190500000230;01;04;7
20190500000231;01;04;6
20190500000232;01;04;5
20190500000233;01;04;5
20190500000234;01;04;4
20190500000235;01;04;5
20190500000237;01;04;4
20190500000239;01;04;7
20190500000240;01;04;4
20190500000242;01;04;5
20190500000245;01;04;7
20190500000247;01;04;7
20190500000248;01;04;7
20190500000249;01;04;6
20190500000252;01;04;9
20190500000254;01;04;4
20190500000255;01;04;7
20190500000256;01;04;5
20190500000257;01;04;3
20190500000258;01;04;9
20190500000259;01;04;6
20190500000261;01;04;7
20190500000262;01;04;4
20190500000264;01;04;28
20190500000265;01;04;4
20190500000266;01;04;12
20190500000267;01;04;6
20190500000268;01;04;2
20190500000318;01;10;10
20190500000329;01;10;10
20190500000331;01;10;7
20190500000335;01;10;7
20190500000337;01;10;8
20190500000383;01;10;10
20190500000385;01;10;2
20190500000386;01;10;11
20190500000387;01;14;35
20190500000390;01;10;4
20190500000391;01;10;3
20190500000393;01;10;5
20190500000394;01;14;4
20190500000395;01;10;4
20190500000397;01;10;2
20190500000398;01;14;2
20190500000400;01;10;9
20190500000401;01;10;3
20190500000402;01;10;9
20190500000404;01;10;14
20190500000405;01;10;5
20190500000407;01;10;7
20190500000451;01;10;11
20190500000452;01;10;11
20190500000453;01;10;7
20190500000454;01;10;1
20190500000455;01;10;7
20190500000456;01;04;14
20190500000457;01;10;4
20190500000459;01;15;2
20190500000460;01;10;7
20190500000462;01;10;9
20190500000464;01;10;30
20190500000466;01;09;1
20190500000466;02;13;1
20190500000466;03;01;29
20190500000468;01;01;14
20190500000469;01;01;11
20190500000475;01;01;8
20190500000476;01;01;90
20190500000477;01;10;7
20190500000482;01;01;7
20190500000485;01;01;7
20190500000486;01;01;7
20190500000494;01;01;7
20190500000495;01;01;7
20190500000499;01;09;6
20190500000499;02;10;3
20190500000499;03;01;5
20190500000500;01;01;7
20190500000503;01;01;6
20190500000503;02;01;1
20190500000505;01;01;8
20190500000506;01;01;4
20190500000507;01;01;2
20190500000507;02;01;2
20190500000507;03;01;2
20190500000516;01;01;2
20190500000517;01;01;9
20190500000523;01;01;12
20190500000526;01;01;6
20190500000527;01;01;4
20190500000528;01;01;4
20190500000531;01;01;4
20190500000532;01;01;17
20190500000534;01;01;17
20190500000578;01;04;5
20190500000579;01;04;12
20190500000602;01;04;7
20190500000603;01;04;2
20190500000605;01;04;4
20190500000606;01;04;7
20190500000607;01;04;4
20190500000608;01;04;7
20190500000640;01;04;3
20190500000642;01;04;11
20190500000665;01;04;7
20190500000666;01;04;4
20190500000667;01;04;5
20190500000668;01;04;10
20190500000669;01;04;10
20190500000672;01;10;9
20190500000675;01;10;18
20190500000683;01;14;31
20190500000686;01;10;14
20190500000687;01;10;30
20190500000692;01;01;17
20190500000693;01;01;6
20190500000696;01;01;7
20190500000735;01;09;4
20190500000741;01;09;3
20190500000808;01;09;3
20190500000808;02;09;1
20190500000809;01;09;2
20190500000809;02;09;1
20190500000822;01;09;1
