mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
022019;2;20190100014423;2;2;15;09;2;1;1;6;1038.1843374;758.433342
022019;2;20190100014428;2;2;15;09;2;2;1;6;901.58046423;1614.395573
022019;2;20190100014468;2;2;15;09;7;1;1;6;2003.1478466;218.14785442
022019;2;20190100014508;2;2;15;09;4;2;1;6;2472.2669765;807.1977865
022019;2;20190100015100;2;1;08;01;6;3;1;6;638.85691873;638.44956167
022019;2;20190100015107;2;1;01;01;21;3;1;6;1453.1719489;654.85730168
022019;2;20190100015111;8;1;01;07;1;3;1;6;187.3064798;465.17915731
022019;2;20190100015116;8;1;01;07;4;3;1;6;269.20418455;465.17915731
022019;2;20190100015125;8;1;08;01;5;3;1;6;731.5312166;482.43319081
022019;2;20190100015129;2;1;08;07;1;1;1;6;161.41932815;635.27810821
022019;2;20190100015155;2;1;08;09;47;2;1;6;2946.6503773;27.159943308
022019;2;20190100015168;2;1;08;02;2;1;3;6;334.81249972;451.56609748
022019;2;20190100015413;8;1;07;02;1;1;2;6;212.1259416;3759.2866278
022019;2;20190100016056;2;2;08;04;2;1;2;6;413.63299152;16.018170908
022019;2;20190100016057;2;2;08;04;2;1;2;6;541.72547012;16.018170908
022019;2;20190100016201;2;2;15;07;30;3;3;6;3843.8155915;386.60413607
022019;2;20190100017091;8;3;03;16;8;3;3;6;708.4536562;20.104181768
022019;2;20190100017797;2;2;15;13;2;3;1;6;1674.597426;609.64395033
022019;2;20190100017799;2;2;15;13;9;1;1;6;3221.591633;109.62482476
022019;2;20190100017867;2;2;15;13;6;1;2;6;2789.3616913;211.61136731
022019;2;20190100017888;2;2;15;13;21;1;2;6;6761.3066979;5.4811129397
022019;2;20190100017892;2;2;15;09;6;1;2;6;2784.6675472;326.64042698
022019;2;20190100017969;2;2;15;13;7;3;3;6;1436.9748063;405.47119086
022019;2;20190100018579;2;2;14;13;6;3;3;6;1087.3618997;136.86551273
022019;2;20190100019608;2;2;15;13;7;1;1;6;2817.945847;356.85759159
022019;2;20190100020332;2;2;14;09;3;1;1;6;1454.6430636;955.25872651
022019;2;20190100020513;8;1;01;01;60;2;1;6;2449.8571289;163.15349476
022019;2;20190100020561;2;1;08;09;45;3;1;6;1734.7597104;573.94049605
022019;2;20190100020563;2;1;08;01;41;2;1;6;1983.2608903;154.55489639
022019;2;20190100020565;2;1;08;01;5;1;1;6;682.02732515;641.85049906
022019;2;20190100020571;2;1;01;01;14;2;1;6;956.91533766;520.30831601
022019;2;20190100020587;8;3;03;01;1;3;3;6;418.20011582;21.932528056
022019;2;20190100020588;8;3;03;09;1;1;3;6;396.11154191;88.304928305
022019;2;20190100020589;8;3;03;01;2;3;3;6;527.83613864;21.932528056
022019;2;20190100020590;8;3;03;01;2;1;3;6;622.85471887;68.033324405
022019;2;20190100020591;8;3;03;16;2;3;3;6;421.63275529;20.104181768
022019;2;20190100020593;8;3;03;09;2;1;3;6;565.26687546;76.255114712
022019;2;20190100020596;8;3;03;01;1;1;3;6;476.52718126;114.70641684
022019;2;20190100021397;2;2;02;04;2;3;3;6;339.94588873;20.974287453
022019;2;20190100021668;2;2;14;09;5;3;1;6;1207.4716701;661.24417736
022019;2;20190100022235;2;1;01;01;14;3;1;6;822.05831357;301.49788848
022019;2;20190100022742;2;2;02;04;7;3;3;6;629.43683065;20.974287453
022019;2;20190100022745;2;2;02;04;10;3;3;6;1310.6101367;22.806513159
022019;2;20190100022746;2;2;02;04;5;3;1;6;405.99204187;171.45302908
022019;2;20190100022802;2;2;02;04;11;3;3;6;896.15149732;20.974287453
022019;2;20190100022803;2;2;02;04;7;1;3;6;1115.0079237;23.22566153
022019;2;20190100022804;2;2;02;04;5;1;1;6;1175.0133278;47.373656177
022019;2;20190100022805;2;2;02;04;3;3;2;6;574.64635658;87.946947243
022019;2;20190100023139;2;2;08;13;3;1;2;6;1015.5392328;449.20643636
022019;2;20190100023140;2;2;08;01;19;1;2;6;1629.6380723;78.76206331
022019;2;20190100023141;2;2;08;13;5;1;1;6;1174.2283616;443.38030044
022019;2;20190100023142;2;2;08;13;2;1;2;6;538.88065743;468.95669725
022019;2;20190100023144;2;2;08;01;12;3;3;6;780.43677319;152.42707767
022019;2;20190100023245;2;2;08;01;35;3;3;6;1543.9251282;152.42707767
022019;2;20190100023246;2;2;08;13;3;3;2;6;288.31752582;260.8277289
022019;2;20190100023875;8;1;01;01;16;3;1;6;898.57682739;654.85730168
022019;2;20190100023932;8;1;08;11;1;2;3;6;330.44944504;1754.4985763
022019;2;20190100024135;2;2;03;10;35;2;1;6;3259.6558838;511.16982086
022019;2;20190100024737;2;2;15;13;2;1;2;6;2166.8569397;560.59737262
022019;2;20190100024738;2;2;15;12;2;1;2;6;1437.9443323;755.49769897
022019;2;20190100024739;2;2;15;13;10;1;2;6;3756.1523492;79.87795334
022019;2;20190100024740;2;2;15;13;15;1;2;6;5009.5019855;23.633979141
022019;2;20190100024823;2;2;15;01;8;1;2;6;2542.4355459;384.92615067
022019;2;20190100025187;8;3;03;13;4;1;2;6;847.4191192;59.568217588
022019;2;20190100025188;8;3;03;01;3;1;3;6;760.56073244;151.31672743
022019;2;20190100025189;8;3;03;01;1;3;3;6;616.75530787;43.865056113
022019;2;20190100025292;2;2;10;09;10;1;1;6;2060.7979823;824.80129095
022019;2;20190100026616;2;3;15;01;5;2;1;6;655.1188132;4102.8174574
022019;2;20190100026628;2;3;15;01;4;3;1;6;422.25750102;2283.2314496
022019;2;20190100026634;2;3;15;01;2;1;1;6;631.73499676;1630.6162396
022019;2;20190100026903;2;2;15;09;3;1;1;6;1682.1610167;295.56576384
022019;2;20190100027367;2;2;15;01;28;3;3;6;4050.5724817;544.24308867
022019;2;20190100027368;2;2;15;13;21;1;3;6;5558.77027;3.9215382215
022019;2;20190100027370;2;2;15;14;15;2;3;1;4721.8805273;783.38094325
022019;2;20190100027390;2;2;15;13;4;1;2;6;2065.7208733;344.42528439
022019;2;20190100027452;2;2;15;13;6;1;3;6;3057.0728359;1050.79085
022019;2;20190100027453;2;2;15;13;35;3;3;6;5286.1179213;316.02883366
022019;2;20190100027454;2;2;15;14;14;1;3;6;3709.9332847;1802.2335543
022019;2;20190100027471;2;2;15;13;3;1;2;6;2167.3422227;1318.2394265
022019;2;20190100027473;2;2;15;13;3;1;2;6;1888.1393079;439.41314215
022019;2;20190100027474;2;2;15;13;28;1;1;6;6333.3758896;65.533415777
022019;2;20190100027563;2;2;06;04;4;3;1;6;975.41527413;114.07038706
022019;2;20190100027664;2;1;07;12;5;2;2;6;291.31999901;9460.0364927
022019;2;20190100027704;2;1;08;02;3;1;1;6;266.18580858;656.5532871
022019;2;20190100028069;2;2;08;04;7;3;1;6;454.92596989;14.167492454
022019;2;20190100028070;2;2;08;04;3;3;1;6;482.01154935;13.029306898
022019;2;20190100028857;2;2;08;13;7;3;3;6;558.75237422;246.96242175
022019;2;20190100028860;2;2;08;13;2;1;2;6;788.54260574;468.95669725
022019;2;20190100028862;2;2;08;01;6;3;3;6;420.91706983;152.42707767
022019;2;20190100028863;2;2;08;13;4;3;3;6;558.99823583;454.24399492
022019;2;20190100028865;2;2;08;13;2;3;3;6;319.18113394;1135.6099873
022019;2;20190100029057;2;2;15;01;2;3;1;6;2284.485011;167.32377427
022019;2;20190100029061;2;2;08;04;5;1;2;6;1101.492668;172.38826512
022019;2;20190100029062;2;2;08;12;7;3;3;6;518.43758433;227.13320272
022019;2;20190100029063;2;2;08;13;2;1;2;6;788.54260574;468.95669725
022019;2;20190100029065;2;2;08;13;2;1;2;6;648.78830099;468.95669725
022019;2;20190100029066;2;2;08;13;2;3;2;6;313.13792904;317.44719772
