"mes";"A1";"pais";"ccaa";"A13";"aloja";"motivo";"A16";"gastototal";"gastomedio"
1;1;1;10;7;3;1;6;493.34747999;70.4782114271429
1;1;8;1;7;1;1;6;984.45581898;140.636545568571
1;1;8;1;20;1;1;6;2102.9059553;105.145297765
1;1;1;10;30;2;1;6;1307.4297894;43.58099298
1;3;9;1;21;2;1;6;2781.6064575;132.457450357143
1;2;9;10;3;1;1;6;672.87706322;224.292354406667
1;2;14;9;3;1;1;6;1449.830457;483.276819
1;2;14;9;24;3;1;6;4189.6817378;174.570072408333
1;2;14;9;10;1;1;6;2411.9371982;241.19371982
1;2;14;9;4;3;1;6;1258.491901;314.62297525
1;2;1;13;4;3;3;6;567.14507005;141.7862675125
1;2;1;13;2;1;1;6;664.33927614;332.16963807
1;2;1;13;2;1;1;6;664.33927614;332.16963807
1;2;1;13;3;1;2;6;632.62960619;210.876535396667
1;2;1;13;2;3;3;6;385.01165881;192.505829405
1;2;1;13;2;3;3;6;403.60959985;201.804799925
1;3;14;9;2;1;1;1;1729.9555877;864.97779385
1;2;3;10;12;3;3;6;648.94998636;54.07916553
1;2;3;10;8;3;1;6;1057.87924;132.234905
1;2;3;14;12;3;3;6;796.81510888;66.4012590733333
1;2;15;1;6;1;1;1;1021.3802187;170.23003645
1;2;15;13;14;3;1;6;2524.2230606;180.301647185714
1;2;10;13;7;1;2;6;1959.8332459;279.976177985714
1;2;6;4;2;1;2;6;660.3587384;330.1793692
1;2;15;13;5;3;1;6;980.58057893;196.116115786
1;2;15;13;7;3;3;6;841.71717336;120.24531048
1;2;15;13;3;1;1;6;1069.6856465;356.561882166667
1;2;1;13;5;3;3;6;289.32272375;57.86454475
1;2;15;13;6;1;2;6;1518.2927903;253.048798383333
1;2;15;13;6;1;2;6;2823.607656;470.601276
1;2;15;13;5;1;2;6;3338.3926122;667.67852244
1;2;15;10;24;1;3;6;13605.556976;566.898207333333
1;2;15;13;8;1;2;6;2268.6074115;283.5759264375
1;2;15;13;4;1;1;6;1091.5700357;272.892508925
1;2;15;13;6;1;1;6;1320.3171489;220.05285815
1;2;15;13;21;1;2;6;5882.6831923;280.127771061905
1;3;6;7;3;2;1;6;887.64000364;295.880001213333
1;3;15;1;2;1;1;6;415.96905147;207.984525735
1;3;15;1;3;1;1;6;470.52785476;156.842618253333
1;3;15;1;15;3;1;6;1245.1631249;83.0108749933333
1;2;15;9;9;1;1;6;4125.171105;458.352345
1;1;7;10;1;1;2;6;281.38234524;281.38234524
1;2;15;9;4;1;1;6;2643.960228;660.990057
1;2;3;10;12;3;1;6;676.82312935;56.4019274458333
1;2;1;8;3;3;3;6;282.32897493;94.10965831
1;2;1;13;7;3;3;6;273.41538617;39.0593408814286
1;2;1;13;3;1;2;6;990.55677895;330.185592983333
1;2;1;13;7;3;3;6;556.62361112;79.5176587314286
1;2;15;13;33;3;3;6;3632.555196;110.077430181818
1;2;15;13;10;1;2;6;2811.2698733;281.12698733
1;3;15;1;3;1;1;6;938.79885775;312.932952583333
1;2;5;10;4;3;1;6;373.10539717;93.2763492925
1;2;5;14;11;1;2;6;1047.4604101;95.2236736454545
1;2;5;10;4;2;3;6;483.90306103;120.9757652575
1;2;5;10;37;3;1;6;1708.6392303;46.1794386567568
1;2;3;1;5;1;2;6;1227.1945545;245.4389109
1;2;5;10;9;3;1;6;705.60746128;78.4008290311111
1;2;9;10;7;1;3;6;842.95006584;120.421437977143
1;2;8;10;14;3;3;6;831.82151097;59.4158222121429
1;2;8;10;3;1;1;6;632.9790624;210.9930208
1;2;8;10;20;2;3;6;1786.8611731;89.343058655
1;2;8;10;4;1;2;6;714.21645646;178.554114115
1;2;8;10;7;1;1;6;1087.5326266;155.3618038
1;2;9;10;14;2;1;6;1298.1180445;92.7227174642857
1;2;9;10;17;3;1;6;1786.4952014;105.087953023529
1;2;3;10;6;3;1;6;478.50758511;79.751264185
1;2;3;10;5;3;1;6;497.12588985;99.42517797
1;2;9;10;4;3;2;6;597.49396881;149.3734922025
1;2;9;14;4;3;3;6;484.61198942;121.152997355
1;2;3;14;2;1;1;6;626.58434984;313.29217492
1;2;3;1;7;1;1;6;1035.8407006;147.977242942857
1;2;10;9;16;3;1;6;1499.4024137;93.71265085625
1;2;6;9;4;1;1;6;978.60526222;244.651315555
1;2;12;4;15;3;1;6;1125.1782728;75.0118848533333
1;2;12;4;15;1;1;6;1980.7654308;132.05102872
1;2;12;4;3;3;1;6;530.71628748;176.90542916
1;2;6;9;5;3;1;6;689.36712092;137.873424184
1;2;15;13;15;1;2;6;3601.8311571;240.12207714
1;2;15;13;13;1;2;6;3582.2833998;275.560261523077
1;2;15;13;7;1;1;6;1669.2972783;238.471039757143
1;2;15;12;8;1;2;1;2638.006045;329.750755625
1;2;15;13;6;2;2;6;1472.9041398;245.4840233
1;2;15;13;14;1;3;6;3015.1189886;215.365642042857
1;2;5;10;7;1;1;1;944.26567243;134.895096061429
